danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,album_name,short_album_name,release_date,album_id
0.362,0.761,2,-8.509,0,0.241,0.442,0.0,0.741,0.586,80.355,audio_features,6oVFpdtDzSgRLv8rUgFVUW,spotify:track:6oVFpdtDzSgRLv8rUgFVUW,https://api.spotify.com/v1/tracks/6oVFpdtDzSgRLv8rUgFVUW,https://api.spotify.com/v1/audio-analysis/6oVFpdtDzSgRLv8rUgFVUW,237107,4,Lone,Wolf,Wolf,2013-04-01,40QTqOBBxCEIQlLNdSjFQB
0.426,0.303,1,-11.52,0,0.0787,0.316,0.00795,0.411,0.383,139.042,audio_features,2JZpS2sOdJy37oBpn1GuPW,spotify:track:2JZpS2sOdJy37oBpn1GuPW,https://api.spotify.com/v1/tracks/2JZpS2sOdJy37oBpn1GuPW,https://api.spotify.com/v1/audio-analysis/2JZpS2sOdJy37oBpn1GuPW,109893,4,WOLF,Wolf,Wolf,2013-04-01,40QTqOBBxCEIQlLNdSjFQB
0.722,0.488,8,-7.547,1,0.398,0.0404,3.45e-06,0.322,0.661,80.093,audio_features,3Z5pXxCb0O6L53vejFHhqQ,spotify:track:3Z5pXxCb0O6L53vejFHhqQ,https://api.spotify.com/v1/tracks/3Z5pXxCb0O6L53vejFHhqQ,https://api.spotify.com/v1/audio-analysis/3Z5pXxCb0O6L53vejFHhqQ,212493,4,Jamba (feat. Hodgy),Wolf,Wolf,2013-04-01,40QTqOBBxCEIQlLNdSjFQB
0.499,0.662,1,-8.514,1,0.382,0.06,0.0,0.428,0.65,160.008,audio_features,2hjjUjikOa29kImnI5kQPw,spotify:track:2hjjUjikOa29kImnI5kQPw,https://api.spotify.com/v1/tracks/2hjjUjikOa29kImnI5kQPw,https://api.spotify.com/v1/audio-analysis/2hjjUjikOa29kImnI5kQPw,195320,4,Cowboy,Wolf,Wolf,2013-04-01,40QTqOBBxCEIQlLNdSjFQB
0.472,0.777,8,-8.666,1,0.294,0.225,0.0283,0.195,0.673,153.78,audio_features,6c7l5gpEyCNGr86jsWneGy,spotify:track:6c7l5gpEyCNGr86jsWneGy,https://api.spotify.com/v1/tracks/6c7l5gpEyCNGr86jsWneGy,https://api.spotify.com/v1/audio-analysis/6c7l5gpEyCNGr86jsWneGy,227467,4,Awkward,Wolf,Wolf,2013-04-01,40QTqOBBxCEIQlLNdSjFQB
0.727,0.565,1,-5.564,0,0.356,0.167,0.0,0.262,0.597,133.094,audio_features,75kiQfmmuQwgquZ9RLSvuA,spotify:track:75kiQfmmuQwgquZ9RLSvuA,https://api.spotify.com/v1/tracks/75kiQfmmuQwgquZ9RLSvuA,https://api.spotify.com/v1/audio-analysis/75kiQfmmuQwgquZ9RLSvuA,158760,4,Domo23,Wolf,Wolf,2013-04-01,40QTqOBBxCEIQlLNdSjFQB
0.352,0.838,8,-6.465,0,0.0496,0.00329,5.74e-06,0.115,0.475,72.291,audio_features,6rqj2zeKhLy3exkuFi6mSz,spotify:track:6rqj2zeKhLy3exkuFi6mSz,https://api.spotify.com/v1/tracks/6rqj2zeKhLy3exkuFi6mSz,https://api.spotify.com/v1/audio-analysis/6rqj2zeKhLy3exkuFi6mSz,230067,4,Answer,Wolf,Wolf,2013-04-01,40QTqOBBxCEIQlLNdSjFQB
0.575,0.624,1,-6.876,0,0.103,0.013,4.74e-05,0.0522,0.273,154.687,audio_features,5wTpnBRTx1HSGQVDZQ2VSh,spotify:track:5wTpnBRTx1HSGQVDZQ2VSh,https://api.spotify.com/v1/tracks/5wTpnBRTx1HSGQVDZQ2VSh,https://api.spotify.com/v1/audio-analysis/5wTpnBRTx1HSGQVDZQ2VSh,233853,4,Slater (feat. Frank Ocean),Wolf,Wolf,2013-04-01,40QTqOBBxCEIQlLNdSjFQB
0.558,0.887,1,-8.083,1,0.265,0.132,0.0,0.89,0.537,119.91,audio_features,2wK7y55bzry7tUDmDqYaz7,spotify:track:2wK7y55bzry7tUDmDqYaz7,https://api.spotify.com/v1/tracks/2wK7y55bzry7tUDmDqYaz7,https://api.spotify.com/v1/audio-analysis/2wK7y55bzry7tUDmDqYaz7,247293,4,48,Wolf,Wolf,2013-04-01,40QTqOBBxCEIQlLNdSjFQB
0.742,0.93,11,-7.207,1,0.0977,0.0557,0.000242,0.272,0.967,129.986,audio_features,60b6B2ULC85t4Y5IjZvP7A,spotify:track:60b6B2ULC85t4Y5IjZvP7A,https://api.spotify.com/v1/tracks/60b6B2ULC85t4Y5IjZvP7A,https://api.spotify.com/v1/audio-analysis/60b6B2ULC85t4Y5IjZvP7A,166347,4,Tamale,Wolf,Wolf,2013-04-01,40QTqOBBxCEIQlLNdSjFQB
0.443,0.576,1,-8.695,0,0.201,0.0709,0.0197,0.41,0.127,151.835,audio_features,04QTBqa3IA4ZAKEuqRPzEH,spotify:track:04QTBqa3IA4ZAKEuqRPzEH,https://api.spotify.com/v1/tracks/04QTBqa3IA4ZAKEuqRPzEH,https://api.spotify.com/v1/audio-analysis/04QTBqa3IA4ZAKEuqRPzEH,438493,4,"PartyIsntOver/Campfire/Bimmer (feat. Frank Ocean, feat. Laetitia Sadier, feat. Laetitia Sadier & Frank Ocean)",Wolf,Wolf,2013-04-01,40QTqOBBxCEIQlLNdSjFQB
0.358,0.715,7,-6.181,1,0.331,0.197,0.0,0.581,0.275,85.478,audio_features,0NjW4SKY3gbfl2orl1p8hr,spotify:track:0NjW4SKY3gbfl2orl1p8hr,https://api.spotify.com/v1/tracks/0NjW4SKY3gbfl2orl1p8hr,https://api.spotify.com/v1/audio-analysis/0NjW4SKY3gbfl2orl1p8hr,319253,4,IFHY (feat. Pharrell),Wolf,Wolf,2013-04-01,40QTqOBBxCEIQlLNdSjFQB
0.406,0.734,1,-6.983,0,0.246,0.0275,0.000978,0.0768,0.488,80.208,audio_features,5L4n81Ecf8UE837uJkuoJJ,spotify:track:5L4n81Ecf8UE837uJkuoJJ,https://api.spotify.com/v1/tracks/5L4n81Ecf8UE837uJkuoJJ,https://api.spotify.com/v1/audio-analysis/5L4n81Ecf8UE837uJkuoJJ,254733,4,Pigs,Wolf,Wolf,2013-04-01,40QTqOBBxCEIQlLNdSjFQB
0.548,0.511,11,-10.424,1,0.274,0.0979,0.0,0.661,0.483,80.747,audio_features,1UBLglX9fPtTBZSwJj4yVG,spotify:track:1UBLglX9fPtTBZSwJj4yVG,https://api.spotify.com/v1/tracks/1UBLglX9fPtTBZSwJj4yVG,https://api.spotify.com/v1/audio-analysis/1UBLglX9fPtTBZSwJj4yVG,233907,4,Parking Lot (feat. Casey Veggies & Mike G),Wolf,Wolf,2013-04-01,40QTqOBBxCEIQlLNdSjFQB
0.503,0.677,11,-5.647,1,0.248,0.00529,0.00024,0.396,0.364,81.28,audio_features,4oQkcfukOHfKsmeoeXQLWC,spotify:track:4oQkcfukOHfKsmeoeXQLWC,https://api.spotify.com/v1/tracks/4oQkcfukOHfKsmeoeXQLWC,https://api.spotify.com/v1/audio-analysis/4oQkcfukOHfKsmeoeXQLWC,309693,4,Rusty (feat. Domo Genesis & Earl Sweatshirt),Wolf,Wolf,2013-04-01,40QTqOBBxCEIQlLNdSjFQB
0.48,0.609,1,-7.251,0,0.299,0.00807,0.0,0.257,0.149,64.604,audio_features,2OaPyH3JLuft6iuNFHFJl0,spotify:track:2OaPyH3JLuft6iuNFHFJl0,https://api.spotify.com/v1/tracks/2OaPyH3JLuft6iuNFHFJl0,https://api.spotify.com/v1/audio-analysis/2OaPyH3JLuft6iuNFHFJl0,282560,4,"Trashwang (feat. Na' kel, Jasper Dolphin, Lucas, L-Boy, Taco, Left Brain & Lee Spielman)",Wolf,Wolf,2013-04-01,40QTqOBBxCEIQlLNdSjFQB
0.721,0.539,11,-8.726,1,0.362,0.217,0.00257,0.419,0.377,81.971,audio_features,2vLwhcsvRd1f2ETft1kWDN,spotify:track:2vLwhcsvRd1f2ETft1kWDN,https://api.spotify.com/v1/tracks/2vLwhcsvRd1f2ETft1kWDN,https://api.spotify.com/v1/audio-analysis/2vLwhcsvRd1f2ETft1kWDN,180213,4,Treehome95 (feat. Coco O. & Erykah Badu),Wolf,Wolf,2013-04-01,40QTqOBBxCEIQlLNdSjFQB
0.442,0.6,2,-9.087,1,0.357,0.267,0.0,0.31,0.725,82.462,audio_features,5AnVuHLmgipXkFmBvj2Q6H,spotify:track:5AnVuHLmgipXkFmBvj2Q6H,https://api.spotify.com/v1/tracks/5AnVuHLmgipXkFmBvj2Q6H,https://api.spotify.com/v1/audio-analysis/5AnVuHLmgipXkFmBvj2Q6H,213320,1,Colossus,Wolf,Wolf,2013-04-01,40QTqOBBxCEIQlLNdSjFQB
0.402,0.8,10,-14.59,1,0.839,0.883,0.0021,0.885,0.132,137.134,audio_features,1SF10sBbwaziKM9uAo2gEW,spotify:track:1SF10sBbwaziKM9uAo2gEW,https://api.spotify.com/v1/tracks/1SF10sBbwaziKM9uAo2gEW,https://api.spotify.com/v1/audio-analysis/1SF10sBbwaziKM9uAo2gEW,91947,4,Dick Banana Hat Interlude,Live At Splash!,Live At Splash!,2013-09-02,6hSjwUPL9jSBtZPgyFWfjI
0.546,0.622,8,-8.528,0,0.253,0.0528,0.0,0.554,0.47,80.881,audio_features,2TEZZROolVtCKcN02jA7dg,spotify:track:2TEZZROolVtCKcN02jA7dg,https://api.spotify.com/v1/tracks/2TEZZROolVtCKcN02jA7dg,https://api.spotify.com/v1/audio-analysis/2TEZZROolVtCKcN02jA7dg,125248,4,We Got B*tches,Live At Splash!,Live At Splash!,2013-09-02,6hSjwUPL9jSBtZPgyFWfjI
0.394,0.77,7,-11.046,0,0.673,0.652,0.0,0.793,0.372,171.178,audio_features,7MyvZp78uVdqJ52WtvAUn8,spotify:track:7MyvZp78uVdqJ52WtvAUn8,https://api.spotify.com/v1/tracks/7MyvZp78uVdqJ52WtvAUn8,https://api.spotify.com/v1/audio-analysis/7MyvZp78uVdqJ52WtvAUn8,116949,4,Nightmare,Live At Splash!,Live At Splash!,2013-09-02,6hSjwUPL9jSBtZPgyFWfjI
